"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2009/04/30","599.0","601.0","587.0","589.0","0.0","32,459,200","19,307,438","1,642,500","4,863,100","2.96","-","-","-","-","-","-","-","-","-","-"
"2009/05/01","599.0","605.0","589.0","602.0","+13.0","20,970,800","12,526,434","1,017,100","4,609,200","4.53","-","-","-","-","-","-","-","-","-","-"
"2009/05/07","652.0","652.0","641.0","652.0","+50.0","44,596,400","28,898,657","1,570,300","2,224,800","1.42","-","-","-","-","-","-","-","-","-","-"
"2009/05/08","650.0","696.0","642.0","695.0","+43.0","63,324,600","42,896,861","3,341,800","2,160,400","0.65","0.00","-","-","-","-","-","-","-","-","-"
"2009/05/11","709.0","734.0","704.0","713.0","+18.0","75,492,700","54,197,647","4,404,400","3,736,900","0.85","0.00","-","650.20","-","-","-","-","47,368,740","-","-"
"2009/05/12","693.0","695.0","676.0","677.0","-36.0","34,059,500","23,372,455","2,135,500","5,696,800","2.67","-","-","667.80","-","-","-","-","47,688,800","-","-"
"2009/05/13","679.0","691.0","670.0","678.0","+1.0","25,675,100","17,476,747","1,995,100","4,173,200","2.09","-","-","683.00","-","-","-","-","48,629,660","-","-"
"2009/05/14","648.0","655.0","645.0","645.0","-33.0","30,210,700","19,593,014","1,340,400","3,907,700","2.92","-","-","681.60","-","-","-","-","45,752,520","-","-"
"2009/05/15","657.0","685.0","656.0","679.0","+34.0","33,822,900","22,650,831","1,703,700","3,167,200","1.86","-","-","678.40","-","-","-","-","39,852,180","-","-"
"2009/05/18","663.0","664.0","645.0","645.0","-34.0","32,396,000","21,076,387","1,260,300","3,993,500","3.17","-","-","664.80","-","-","-","-","31,232,840","-","-"
"2009/05/19","680.0","683.0","667.0","669.0","+24.0","30,304,600","20,408,428","1,526,700","3,682,200","2.41","-","-","663.20","-","-","-","-","30,481,860","-","-"
"2009/05/20","676.0","679.0","666.0","677.0","+8.0","18,168,200","12,232,018","1,069,900","3,109,400","2.91","-","-","663.00","-","-","-","-","28,980,480","-","-"
"2009/05/21","675.0","675.0","663.0","673.0","-4.0","16,211,100","10,845,165","930,500","2,839,800","3.05","-","-","668.60","-","-","-","-","26,180,560","-","-"
"2009/05/22","655.0","686.0","654.0","685.0","+12.0","27,780,900","18,739,072","1,764,000","2,496,300","1.42","-","-","669.80","-","-","-","-","24,972,160","-","-"
"2009/05/25","676.0","697.0","676.0","689.0","+4.0","27,175,800","18,709,283","1,625,100","2,482,000","1.53","-","-","678.60","-","-","-","-","23,928,120","-","-"
"2009/05/26","699.0","708.0","687.0","687.0","-2.0","33,426,400","23,293,203","1,605,300","2,832,500","1.76","-","-","682.20","-","-","-","-","24,552,480","-","-"
"2009/05/27","705.0","720.0","702.0","719.0","+32.0","51,821,400","36,943,642","2,541,500","1,945,400","0.77","0.00","-","690.60","-","-","-","-","31,283,120","-","-"
"2009/05/28","713.0","722.0","705.0","710.0","-9.0","34,158,800","24,350,779","2,252,400","3,184,300","1.41","-","-","698.00","-","-","-","-","34,872,660","-","-"
"2009/05/29","720.0","720.0","706.0","716.0","+6.0","30,755,500","21,908,942","4,119,100","2,715,600","0.66","0.00","-","704.20","-","-","-","-","35,467,580","-","-"
"2009/06/01","714.0","744.0","712.0","742.0","+26.0","38,153,600","27,934,461","5,044,600","2,162,000","0.43","0.00","-","714.80","-","-","-","-","37,663,140","-","-"
