"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"極洋"	"1301"	"東１"	"▼"	"2,761.0"	"15:00"	"-5.0"	"-0.18%"	"19,800"
"ダイワ投信－トピックス"	"1305"	"東１"	"▼"	"1,713.0"	"15:00"	"-1.0"	"-0.06%"	"81,600"
"ＴＯＰＩＸ連動型投信"	"1306"	"東１"	"▼"	"1,689.0"	"15:00"	"-2.0"	"-0.12%"	"1,713,060"
"インデックスＦＴＯＰＩＸ"	"1308"	"東１"	"▲"	"1,673.0"	"15:00"	"-3.0"	"-0.18%"	"176,000"
"上海株式指数投信"	"1309"	"東１"	"▲"	"33,300.0"	"15:00"	"-100.0"	"-0.30%"	"542"
"ダイワ－トピックスコア３０"	"1310"	"東１"	"▲"	"736.0"	"09:00"	"+1.0"	"+0.14%"	"10"
"ＴＯＰＩＸＣＯＲＥ３０連動"	"1311"	"東１"	"▲"	"750.0"	"14:59"	"+1.0"	"+0.13%"	"3,460"
"ラッセル野村小型コアイン"	"1312"	"東１"	"▲"	"19,560.0"	"12:57"	"-180.0"	"-0.91%"	"74"
"サムスンＫＯＤＥＸ２００"	"1313"	"東１"	"▼"	"2,780.0"	"13:43"	"-50.0"	"-1.77%"	"210"
"Ｓ＆Ｐ日本新興株１００"	"1314"	"東１"	""	"-"	"  :  "	""	""	"0"
"日経３００投信"	"1319"	"東２"	""	"322.0"	"  :  "	"0.0"	"0.00%"	"0"
"ダイワ投信－日経２２５"	"1320"	"東１"	"▼"	"23,080.0"	"15:00"	"-80.0"	"-0.35%"	"35,870"
"日経２２５連動投信"	"1321"	"東１"	"▼"	"23,120.0"	"15:00"	"-50.0"	"-0.22%"	"329,208"
"中国Ａ株（パンダ）"	"1322"	"東１"	"▼"	"5,250.0"	"15:00"	"-20.0"	"-0.38%"	"350"
"ＮＥＸＴＦ南アフリカ"	"1323"	"東１"	"▼"	"371.0"	"10:48"	"0.0"	"0.00%"	"100"
"ＮＥＸＴＦロシア"	"1324"	"東１"	"▼"	"134.0"	"15:00"	"-3.0"	"-2.19%"	"27,600"
"ＮＥＸＴＦブラジル"	"1325"	"東１"	"▼"	"210.0"	"12:51"	"+1.0"	"+0.48%"	"5,500"
"ＳＰＤＲゴールド・シェア"	"1326"	"東１"	"▲"	"13,510.0"	"14:56"	"+20.0"	"+0.15%"	"1,065"
"ＥＡＳＹ商品"	"1327"	"東１"	""	"3,300.0"	"  :  "	"0.0"	"0.00%"	"0"
"金連動投信"	"1328"	"東１"	"▲"	"3,775.0"	"15:00"	"+60.0"	"+1.62%"	"2,940"
"ｉシェアーズ・コア２２５"	"1329"	"東１"	"▲"	"23,050.0"	"15:00"	"-50.0"	"-0.22%"	"11,044"
