取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/08/03,923,100,838,2009/08/18,904,-1900,-0.2235294117647059,-2.058504875406284,12
long,2009/08/31,933,100,854,2009/09/02,856,-7700,-0.9746835443037974,-8.252947481243302,3
short,2009/10/02,802,100,873,2009/10/13,841,-3900,-0.5492957746478874,-4.86284289276808,7
long,2009/10/20,901,100,837,2009/11/05,889,-1200,-0.1875,-1.3318534961154271,12
short,2009/11/06,865,100,929,2009/11/13,941,-7600,-1.1875,-8.786127167630058,6
long,2009/11/16,951,100,708,2009/11/26,896,-5500,-0.22633744855967078,-5.783385909568875,8
long,2009/12/07,938,100,687,2010/01/05,1178,24000,0.9561752988047809,25.5863539445629,19
long,2010/03/02,1300,100,1225,2010/03/15,1379,7900,1.0533333333333332,6.076923076923077,10
long,2010/03/17,1451,100,1371,2010/03/30,1455,400,0.05,0.2756719503790489,9
long,2010/04/16,1490,100,1423,2010/05/07,1542,5200,0.7761194029850746,3.48993288590604,12
short,2010/05/19,1356,100,1476,2010/05/28,1401,-4500,-0.375,-3.3185840707964607,8
short,2010/06/29,1365,100,1458,2010/07/07,1300,6500,0.6989247311827957,4.761904761904762,7
short,2010/07/20,1234,100,1342,2010/07/26,1290,-5600,-0.5185185185185185,-4.538087520259319,5
short,2010/08/10,1265,100,1373,2010/08/27,1178,8700,0.8055555555555556,6.877470355731226,14
long,2010/09/29,1311,100,1239,2010/10/05,1259,-5200,-0.7222222222222222,-3.9664378337147213,5
long,2010/10/15,1311,100,1236,2010/10/29,1278,-3300,-0.44,-2.517162471395881,11
long,2010/11/09,1369,100,1282,2010/11/17,1323,-4600,-0.5287356321839081,-3.3601168736303872,7
long,2010/12/06,1411,100,1337,2010/12/22,1480,6900,0.9324324324324325,4.890148830616584,13
long,2011/01/07,1514,100,1446,2011/01/21,1554,4000,0.5882352941176471,2.642007926023778,10
long,2011/01/28,1621,100,1528,2011/01/31,1528,-9300,-1.0,-5.737199259716225,2
long,2011/02/02,1626,100,1525,2011/02/24,1723,9700,0.9603960396039604,5.9655596555965555,16
short,2011/03/14,1259,100,1370,2011/03/22,1445,-18600,-1.6756756756756757,-14.773629864972202,6
short,2011/04/05,1258,100,1459,2011/04/21,1249,900,0.04477611940298507,0.7154213036565978,13
short,2011/05/10,1176,100,1253,2011/05/30,1184,-800,-0.1038961038961039,-0.6802721088435374,15
long,2011/06/15,1224,100,1156,2011/06/20,1150,-7400,-1.088235294117647,-6.045751633986928,4
short,2011/06/20,1119,100,1179.0,2011/06/27,1160,-4100,-0.6833333333333333,-3.6639857015192137,6
long,2011/07/04,1248,100,1174,2011/07/12,1232,-1600,-0.21621621621621623,-1.282051282051282,7
short,2011/08/08,1068,100,1149,2011/08/29,1061,700,0.08641975308641975,0.6554307116104869,16
short,2011/09/12,954,100,1028,2011/09/29,941,1300,0.17567567567567569,1.3626834381551363,12
long,2011/10/28,986,100,903,2011/11/04,920,-6600,-0.7951807228915663,-6.693711967545639,5
short,2011/11/11,860,100,926,2011/11/28,827,3300,0.5,3.8372093023255816,11
long,2012/01/12,898,100,834,2012/03/01,1284,38600,6.03125,42.98440979955457,36
long,2012/03/12,1381,100,1297,2012/04/05,1600,21900,2.607142857142857,15.858073859522085,18
long,2012/04/27,1665,100,1527,2012/05/08,1450,-21500,-1.5579710144927537,-12.912912912912914,5
short,2012/05/15,1359,100,1497,2012/06/11,1226,13300,0.9637681159420289,9.786607799852833,20
long,2012/06/29,1346,100,1241,2012/07/10,1333,-1300,-0.12380952380952381,-0.9658246656760773,8
short,2012/07/25,1169,100,1259,2012/07/30,1226,-5700,-0.6333333333333333,-4.875962360992301,4
long,2012/08/08,1355,100,1253,2012/08/14,1278,-7700,-0.7549019607843137,-5.682656826568266,5
short,2012/09/25,1274,100,1356,2012/10/17,1224,5000,0.6097560975609756,3.924646781789639,16
short,2012/10/30,1179,100,1255,2012/10/31,1219,-4000,-0.5263157894736842,-3.3927056827820183,2
short,2012/11/07,1089,100,1179,2012/11/16,1061,2800,0.3111111111111111,2.571166207529844,8
long,2013/01/04,1191,100,1148,2013/01/24,1201,1000,0.23255813953488372,0.8396305625524769,14
