ÉRÅ[Éh,ëçëπâv,èüÇøêî,ïâÇØêî,ï™ÇØêî,èüó¶,ïΩãœëπâv,PF,ëçRî{êî,ïΩãœRî{êî,ëçëπâvó¶,ïΩãœä˙ä‘
1301,-139100.0,44,77,1,0.36065573770491804,-1140.1639344262296,0.7372497166603702,-0.15001858804853715,-0.0012296605577748947,-43.88715370612685,10.795081967213115
1332,-6900.0,48,88,6,0.3380281690140845,-48.59154929577465,0.9460093896713615,1.3510767299473199,0.009514624858783943,-25.725523306460296,9.767605633802816
1333,-82000.0,29,46,0,0.38666666666666666,-1093.3333333333333,0.7851153039832285,-1.7208309567403484,-0.02294441275653798,-21.935762942559414,9.653333333333334
1352,-408300.0,36,96,0,0.2727272727272727,-3093.181818181818,0.29748795595320027,-88.98110156374129,-0.6740992542707673,NaN,8.674242424242424
1376,-155700,41,95,2,0.2971014492753623,-1128.2608695652175,0.5049284578696344,-64.6798005514475,-0.4686942068945471,NaN,8.797101449275363
1377,-44100.0,48,93,4,0.3310344827586207,-304.13793103448273,0.9073529411764706,-2.295098959959209,-0.015828268689373853,-30.31672340366904,9.137931034482758
1379,-86400.0,49,93,1,0.34265734265734266,-604.1958041958042,0.7653449212384573,-14.697117093236812,-0.10277704261004764,-45.60791470618054,8.727272727272727
1384,29200.0,20,33,0,0.37735849056603776,550.9433962264151,1.28377065111759,19.042707754588825,0.35929637272809106,43.47201277902431,9.81132075471698
1413,-42300,8,22,0,0.26666666666666666,-1410.0,0.8279788531923546,-2.4686729351490073,-0.08228909783830024,-18.318860630644256,8.266666666666667
1414,-684000.0,39,115,2,0.25,-4384.615384615385,0.5128899017234012,-34.0539879209972,-0.21829479436536667,-169.4751149410233,8.576923076923077
7212,-110400.0,45,93,1,0.3237410071942446,-794.2446043165468,0.7630901287553649,-17.31409899645382,-0.12456186328384042,-69.28863088467087,9.057553956834532
8604,94500.0,51,69,4,0.4112903225806452,762.0967741935484,1.7175398633257404,45.24959555508276,0.3649160931861513,202.58336383602392,10.943548387096774
