取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2009/12/02,1656,100,1706,2009/12/07,1604,5200,1.04,3.140096618357488,4
long,2012/02/17,1831,100,1792,2012/02/23,1868,3700,0.9487179487179487,2.020753686510104,5
short,2012/12/04,2690,100,2759,2012/12/07,2759,-6900,-1.0,-2.5650557620817844,4
long,2013/02/18,3110,100,3005,2013/02/20,3300,19000,1.8095238095238095,6.109324758842444,3
long,2013/05/28,3795,100,3625,2013/06/04,3635,-16000,-0.9411764705882353,-4.216073781291173,6
long,2013/06/05,3805,100,3635,2013/06/06,3635,-17000,-1.0,-4.467805519053877,2
long,2013/06/07,3445,100,3270,2013/06/11,3805,36000,2.057142857142857,10.449927431059507,3
long,2013/06/14,3630,100,3440,2013/06/18,3850,22000,1.1578947368421053,6.0606060606060606,3
short,2013/07/04,4155,100,4325,2013/07/22,4185,-3000,-0.17647058823529413,-0.7220216606498195,12
long,2013/07/30,3750,100,3640,2013/08/05,4070,32000,2.909090909090909,8.533333333333333,5
short,2016/03/07,4090,100,4240,2016/03/10,3975,11500,0.7666666666666667,2.8117359413202934,4
short,2016/03/15,4155,100,4265,2016/03/17,4260,-10500,-0.9545454545454546,-2.527075812274368,3
short,2016/07/28,5180,100,5320,2016/08/03,5000,18000,1.2857142857142858,3.474903474903475,5
long,2016/08/16,4660,100,4530,2016/08/17,4535,-12500,-0.9615384615384616,-2.682403433476395,2
long,2016/08/22,4555,100,4430,2016/08/25,4640,8500,0.68,1.8660812294182216,4
long,2018/02/07,8320,100,8100,2018/02/08,8100,-22000,-1.0,-2.644230769230769,2
long,2018/02/13,7760,100,7510,2018/02/14,7510,-25000,-1.0,-3.221649484536082,2
short,2018/04/09,8050,100,8240,2018/04/13,8030,2000,0.10526315789473684,0.2484472049689441,5
long,2018/05/25,7640,100,7480,2018/05/28,7480,-16000,-1.0,-2.094240837696335,2
short,2018/07/10,8020,100,8190,2018/07/11,7780,24000,1.411764705882353,2.9925187032418954,2
long,2018/10/12,8180,100,7940,2018/10/25,8330,15000,0.625,1.8337408312958436,10
long,2018/10/26,8210,100,7990,2018/10/26,7990,-22000,-1.0,-2.679658952496955,1
long,2018/10/31,7950,100,7720,2018/11/02,8050,10000,0.43478260869565216,1.257861635220126,3
short,2018/12/04,8910,100,9110,2018/12/10,8600,31000,1.55,3.479236812570146,5
long,2018/12/25,7920,100,7700,2018/12/25,7700,-22000,-1.0,-2.7777777777777777,1
long,2018/12/28,8060,100,7800,2019/01/04,7800,-26000,-1.0,-3.225806451612903,2
short,2019/02/14,8200,100,8370,2019/02/18,8220,-2000,-0.11764705882352941,-0.24390243902439024,3
